,Date,IN,CN,Total_Components
0,2019-03-18,0.08351639910104078,0.22262325414826056,1520
0,2019-06-24,0.08616096653478104,0.200451032129661,1514
0,2019-09-23,0.06871082365482947,0.2126077347865739,1405
0,2019-12-23,0.06167830656966239,0.21666601197696564,1398
0,2020-03-23,0.0652927339714568,0.2724732092710358,1472
0,2020-06-22,0.06292906274050157,0.2507050540841499,1482
0,2020-09-21,0.09954018550841534,0.2428177362543633,1398
0,2020-12-21,0.09633369209315619,0.25143438613721086,1375
0,2021-03-22,0.11322892458103206,0.24011854740256663,1505
0,2021-06-21,0.10466006547165621,0.21895074128324765,1483
0,2021-09-20,0.1973721637713063,0.11419168170096829,2050
0,2021-12-20,0.1916175658535987,0.12696304493178046,2018
0,2022-03-21,0.20745960380926845,0.11895878809762028,2058
0,2022-06-20,0.20859471297790524,0.12072450211598436,2023
0,2022-09-19,0.22013001453229644,0.12143343675573456,2041
0,2022-12-19,0.21150396124274923,0.12256815853343321,1967
0,2023-03-20,0.19678640213440923,0.11145310975008482,2041
0,2023-06-19,0.20754468163133072,0.1022050685543045,2015
0,2023-09-18,0.22902398990437264,0.09760373201426378,2075
0,2023-12-18,0.2451953077700056,0.08221647302922136,2034
0,2024-03-18,0.23980578522415338,0.08147229618954971,2159
